year,recipient_name,purpose_code,climate_adaptation,usd_disbursement,usd_disbursement_deflated
2018,India,41082,2,1.319342,1.378317
2018,"South of Sahara, regional",14040,2,6.872962,7.077029
2018,"South of Sahara, regional",41010,2,18.320555,18.764126
2018,"Africa, regional",24030,2,0.323063,0.33649
2018,Tanzania,43030,2,1.43618,1.492898
2018,Tanzania,43060,2,0.933707,0.972514
2018,"South & Central Asia, regional",41082,2,0.071901,0.074889
2018,"Bilateral, unspecified",31182,2,8.467412,8.395793
2018,"South of Sahara, regional",15150,2,1.983802,2.066253
2018,"South of Sahara, regional",16010,2,15.122801,15.751338
2018,"South of Sahara, regional",31110,2,2.507651,2.778994
2018,"South of Sahara, regional",31120,2,1.954722,2.063311
2018,"South of Sahara, regional",31130,2,6.613382,6.885156
2018,"Bilateral, unspecified",14020,2,1.40056,1.458771
2018,Malawi,15180,2,0.332133,0.345937
2018,"South Asia, regional",12110,2,1.14316,1.190672
2018,"Africa, regional",43082,2,1.813354,1.899787
2018,Uganda,31191,2,0.003822,0.003981
2018,Sudan,14050,2,0.072738,0.075761
2018,Nepal,41082,2,0.328831,0.336385
2018,Pakistan,16010,2,1.929525,2.00844
2018,Madagascar,31220,2,1.981718,2.064083
2018,"Africa, regional",31182,2,0.346805,0.361219
2018,"Bilateral, unspecified",24030,2,1.061309,1.10542
2018,"Bilateral, unspecified",52010,2,8.250747,8.295081
2018,Sierra Leone,14021,2,0.458566,0.477625
2018,Malawi,72010,2,0.00873,0.009092
2018,Sierra Leone,14010,2,0.007571,0.007886
2018,"Asia, regional",15150,2,0.225895,0.235284
2018,Sudan,14031,2,0.17839,0.185805
2018,Bangladesh,43082,2,0.026477,0.027578
2018,"South of Sahara, regional",99810,2,0.285432,0.298091
2018,South Africa,43082,2,0.033343,0.034728
2018,Uganda,14015,2,0,0
2018,Uganda,14031,2,0,0
2018,Uganda,14081,2,0,0
2018,Pakistan,41010,2,7.09099,7.389548
2018,Sierra Leone,14020,2,14.89434,15.513381
2018,Pakistan,43082,2,0.066375,0.074677
2018,Rwanda,23210,2,1.321611,1.37345
2018,Rwanda,31220,2,0.411124,0.428211
2018,Rwanda,43030,2,0.411124,0.428211
2018,Rwanda,43040,2,6.462517,6.595263
2018,Pakistan,99810,2,213.04995,221.74598
2018,Malawi,52010,2,0.480192,0.50015
2018,"Asia, regional",43030,2,0.109927,0.114496
2018,"Bilateral, unspecified",43040,2,0.694798,0.716933
2018,Madagascar,41082,2,0.039379,0.035267
2018,"America, regional",31220,2,10.370815,10.801849
2018,Uzbekistan,14020,2,0,0
2018,Egypt,14020,2,6.317503,6.564394
2018,Lebanon,24030,2,92.752272,96.537867
2018,Kyrgyzstan,14020,2,3.367165,3.504594
2018,Azerbaijan,99810,2,22.106692,23.008955
2018,Kazakhstan,14020,2,15.246076,15.86833
2018,Egypt,99810,2,0,0
2018,Albania,99810,2,139.265903,144.949908
2018,Kyrgyzstan,24030,2,1.515402,1.577252
2018,Bosnia and Herzegovina,14020,2,2.456037,2.556278
2018,Türkiye,24030,2,75.560015,78.643924
