year,purpose_code,recipient_name,usd_disbursement,usd_disbursement_deflated,climate_adaptation
2019,16010,Honduras,0.909683,0.90831,"Blank, 0, or 1"
2019,16010,Iraq,0.598802,0.55817,"Blank, 0, or 1"
2019,16010,Indonesia,22.355912,22.715037,"Blank, 0, or 1"
2019,16010,Malawi,38.44655,39.737713,"Blank, 0, or 1"
2019,16010,Kosovo,0.373007,0.397055,"Blank, 0, or 1"
2019,16010,Cuba,1.038518,1.036094,"Blank, 0, or 1"
2019,16010,Democratic People's Republic of Korea,0,0,"Blank, 0, or 1"
2019,16010,"Asia, regional",3.879748,3.950929,"Blank, 0, or 1"
2019,16010,Togo,1.02622,1.063334,"Blank, 0, or 1"
2019,16010,Argentina,1.218848,1.225089,"Blank, 0, or 1"
2019,16010,"Middle East, regional",0.548758,0.583817,"Blank, 0, or 1"
2019,16010,Nicaragua,0.381249,0.415428,"Blank, 0, or 1"
2019,16010,Cameroon,2.994079,2.978791,"Blank, 0, or 1"
2019,16010,Namibia,0.274184,0.233678,"Blank, 0, or 1"
2019,16010,Malaysia,0.38778,0.327289,"Blank, 0, or 1"
2019,16010,Thailand,1.763031,1.570725,"Blank, 0, or 1"
2019,16010,Eswatini,2.030106,2.075989,"Blank, 0, or 1"
2019,16010,"Far East Asia, regional",1.328944,1.353877,"Blank, 0, or 1"
2019,16010,Cambodia,6.475556,6.29869200000001,"Blank, 0, or 1"
2019,16010,Mexico,1.308486,1.375127,"Blank, 0, or 1"
2019,16010,Sri Lanka,1.196436,1.152107,"Blank, 0, or 1"
2019,16010,Kazakhstan,0.104704,0.091726,"Blank, 0, or 1"
2019,16010,Colombia,22.42036,25.071675,"Blank, 0, or 1"
2019,16010,Burundi,0.733348,0.76067,"Blank, 0, or 1"
2019,16010,Pakistan,14.272715,15.02415,"Blank, 0, or 1"
2019,16010,Morocco,2.875423,2.90323,"Blank, 0, or 1"
2019,16010,Chad,0.219587,0.228989,"Blank, 0, or 1"
2019,16010,"Central Asia, regional",0.205878,0.210373,"Blank, 0, or 1"
2019,16010,"South America, regional",10.461051,10.70417,"Blank, 0, or 1"
2019,16010,Afghanistan,2.404794,2.652117,"Blank, 0, or 1"
2019,16010,Côte d'Ivoire,0.163382,0.156868,"Blank, 0, or 1"
2019,16010,Haiti,7.551201,8.340902,"Blank, 0, or 1"
2019,16010,Timor-Leste,0.992147,1.055961,"Blank, 0, or 1"
2019,16010,Benin,0.312617,0.319988,"Blank, 0, or 1"
2019,16010,Saint Lucia,0.03356,0.030292,"Blank, 0, or 1"
2019,16010,Guyana,0,0,"Blank, 0, or 1"
2019,16010,Micronesia,0.081786,0.093211,"Blank, 0, or 1"
2019,16010,Lao People's Democratic Republic,2.659969,2.854649,"Blank, 0, or 1"
2019,16010,Ecuador,3.529297,3.549917,"Blank, 0, or 1"
2019,16010,Paraguay,3.154697,3.246471,"Blank, 0, or 1"
2019,16010,Suriname,0.590185,0.614155,"Blank, 0, or 1"
2019,16010,Dominican Republic,0.66021,0.68457,"Blank, 0, or 1"
2019,16010,Yemen,40.010752,42.762521,"Blank, 0, or 1"
2019,16010,Botswana,0.390368,0.412854,"Blank, 0, or 1"
2019,16010,Papua New Guinea,0.237692,0.235457,"Blank, 0, or 1"
2019,16010,Tuvalu,0.062602,0.071231,"Blank, 0, or 1"
2019,16010,Kiribati,0.001648,0.001396,"Blank, 0, or 1"
2019,16010,Fiji,0.09684,0.101764,"Blank, 0, or 1"
2019,16010,Vanuatu,0.486192,0.547262,"Blank, 0, or 1"
2019,16010,Niger,0.705462,0.595346,"Blank, 0, or 1"
2019,16010,Azerbaijan,0.085824,0.0898,"Blank, 0, or 1"
2019,16010,Belize,0.044719,0.051035,"Blank, 0, or 1"
2019,16010,"Caribbean, regional",0.988638,1.012173,"Blank, 0, or 1"
2019,16010,Madagascar,1.349043,1.435873,"Blank, 0, or 1"
2019,16010,Gambia,0.71567,0.807303,"Blank, 0, or 1"
2019,16010,Central African Republic,5.490037,5.349521,"Blank, 0, or 1"
2019,16010,Iran,0.537156,0.50803,"Blank, 0, or 1"
2019,16010,Sao Tome and Principe,0.004864,0.004987,"Blank, 0, or 1"
2019,16010,Angola,10.351243,10.597494,"Blank, 0, or 1"
2019,16010,Cabo Verde,0.001586,0.001626,"Blank, 0, or 1"
2019,16010,Solomon Islands,1.026258,1.090541,"Blank, 0, or 1"
2019,16010,Eritrea,0.237043,0.242685,"Blank, 0, or 1"
2019,16010,Montenegro,0.207489,0.212428,"Blank, 0, or 1"
2019,16010,Jamaica,0.326294,0.350254,"Blank, 0, or 1"
2019,16010,Guinea,0.314994,0.323206,"Blank, 0, or 1"
2019,16010,Costa Rica,0.061038,0.052354,"Blank, 0, or 1"
2019,16010,Mauritius,0.088977,0.089505,"Blank, 0, or 1"
2019,16010,Mauritania,0.34701,0.351309,"Blank, 0, or 1"
2019,16010,Syrian Arab Republic,8.28022,7.074673,"Blank, 0, or 1"
2019,16010,Saint Helena,4.675618,4.984694,"Blank, 0, or 1"
2019,16010,Montserrat,0.883739,0.942156,"Blank, 0, or 1"
2019,16010,"South & Central Asia, regional",0.261377,0.278655,"Blank, 0, or 1"
2019,16010,Venezuela,0.149781,0.135796,"Blank, 0, or 1"
2019,16010,Djibouti,0.523376,0.438581,"Blank, 0, or 1"
2019,16010,Samoa,0.038279,0.032076,"Blank, 0, or 1"
2019,16010,Palau,0.01166,0.00977,"Blank, 0, or 1"
2019,16010,Maldives,0.158941,0.133191,"Blank, 0, or 1"
2019,16010,Panama,1.13068,1.247856,"Blank, 0, or 1"
2019,16010,Uzbekistan,0.039122,0.032785,"Blank, 0, or 1"
2019,16010,Bhutan,0.041664,0.034915,"Blank, 0, or 1"
2019,16010,Gabon,0.030003,0.026439,"Blank, 0, or 1"
2019,16010,Algeria,0.042213,0.040576,"Blank, 0, or 1"
2019,16010,Nauru,0.001596,0.001337,"Blank, 0, or 1"
2019,16010,Saint Vincent and the Grenadines,0.012551,0.010518,"Blank, 0, or 1"
2019,16010,Niue,0.001596,0.001337,"Blank, 0, or 1"
2019,16010,Marshall Islands,0.005878,0.004926,"Blank, 0, or 1"
2019,16010,Cook Islands,0.007208,0.00604,"Blank, 0, or 1"
2019,16010,Tokelau,0.001596,0.001337,"Blank, 0, or 1"
2019,16010,Comoros,0.014095,0.014215,"Blank, 0, or 1"
2019,16010,Tonga,0.001596,0.001337,"Blank, 0, or 1"
2019,16010,Equatorial Guinea,0.002116,0.002134,"Blank, 0, or 1"
2019,16010,Wallis and Futuna,0.249561,0.251769,"Blank, 0, or 1"
2020,16010,Togo,4.135346,4.019736,"Blank, 0, or 1"
2020,16010,Azerbaijan,0.02647,0.025853,"Blank, 0, or 1"
2020,16010,South Sudan,1.376633,1.407602,"Blank, 0, or 1"
2020,16010,Ethiopia,43.98296,44.362084,"Blank, 0, or 1"
2020,16010,Uganda,21.296792,21.396906,"Blank, 0, or 1"
2020,16010,Jordan,73.906499,75.406128,"Blank, 0, or 1"
2020,16010,Colombia,15.988943,17.52123,"Blank, 0, or 1"
2020,16010,Tanzania,13.143315,17.029848,"Blank, 0, or 1"
