year,sector_code,recipient_name,usd_disbursement,usd_disbursement_deflated
2020,151,Azerbaijan,9.756045,10.077591
2020,151,Afghanistan,996.437611,1066.521475
2020,151,Yemen,75.955891,77.509156
2020,151,North Macedonia,37.605656,38.136755
2020,151,Tanzania,255.698032,263.605675
2020,151,"Asia, regional",253.163974,262.944352
2020,151,Kosovo,188.968426,190.610138
2020,151,Indonesia,1095.565673,1102.089801
2020,151,Benin,155.304371,158.088594
2020,151,Gabon,1.382086,1.400431
2020,151,Eswatini,4.474079,4.621757
2020,151,Honduras,164.582749,172.047955
2020,151,Viet Nam,75.56164,78.734401
2020,151,"Middle East, regional",185.023121,186.598418
2020,151,"Caribbean, regional",20.755231,22.178516
2020,151,Congo,10.61622,10.80132
2020,151,Philippines,69.338491,74.4677070000001
2020,151,Mozambique,127.135936,133.928984
2020,151,Uganda,414.890508,427.425992
2020,151,Malawi,106.711535,112.753235
2020,151,Costa Rica,20.985877,22.831938
2020,151,Libya,71.999219,76.044629
2020,151,Mexico,171.042315,187.915941
2020,151,Türkiye,66.229194,66.870805
2020,151,Cameroon,27.822838,28.046917
2020,151,Central African Republic,104.323269,105.838832
2020,151,Kenya,651.272473,668.87566
2020,151,Ethiopia,513.176458,531.57504
2020,151,Mongolia,124.380058,125.818476
2020,151,Algeria,11.73269,11.730904
2020,151,Peru,83.082971,88.5666860000001
2020,151,Iraq,181.653773,191.116406
2020,151,Namibia,7.184939,7.173053
2020,151,Egypt,62.614385,64.737127
2020,151,Dominican Republic,28.024803,28.430013
2020,151,Venezuela,58.676659,64.672856
2020,151,Cabo Verde,13.030522,13.302521
2020,151,Nigeria,801.326872,824.340221
2020,151,Eritrea,2.765242,2.885416
2020,151,Iran,3.479334,3.479511
2020,151,Malaysia,4.525396,4.86389
2020,151,El Salvador,51.597114,54.648786
2020,151,South Sudan,82.291787,88.1706410000001
2020,151,Guinea-Bissau,9.40842,9.577419
2020,151,Burundi,34.882452,36.480591
2020,151,Comoros,6.82452,6.866969
2020,151,Djibouti,14.094399,14.363632
2020,151,India,51.459147,52.49185
2020,151,Pakistan,412.580794,426.20853
2020,151,Mali,196.344776,204.368908
2020,151,Democratic Republic of the Congo,167.498203,175.864257
2020,151,Madagascar,85.873832,88.5320570000001
2020,151,Somalia,345.102718,358.640131
2020,151,Maldives,27.196339,27.05561
2020,151,Mauritius,1.876907,1.890273
2020,151,Democratic People's Republic of Korea,2.006387,2.0165
2020,151,Burkina Faso,202.911441,206.702992
2020,151,"Melanesia, regional",1.58705,1.631315
2020,151,Mauritania,46.315099,46.771526
2020,151,Nepal,142.380261,152.086619
2020,151,China (People's Republic of),29.729523,30.601698
2020,151,South Africa,50.084088,52.005555
2020,151,Zimbabwe,62.624999,65.462223
2020,151,Papua New Guinea,139.869912,156.137034
2020,151,Equatorial Guinea,1.084507,1.10152
2020,151,"Central Asia, regional",36.93092,38.683253
2020,151,"Europe, regional",332.082876,339.115219
2020,151,States Ex-Yugoslavia unspecified,1.494277,2.01291
2020,151,"Africa, regional",788.439807,796.432605000002
2020,151,"South America, regional",113.685645,113.871828
2020,151,"Far East Asia, regional",20.447432,21.516131
2020,151,Fiji,22.850555,24.130092
2020,151,Jamaica,25.81734,26.179149
2020,151,"South Asia, regional",23.078333,23.582763
2020,151,Tuvalu,6.747967,6.99437
2020,151,Kiribati,3.31455,3.595227
2020,151,Marshall Islands,12.346337,12.822889
2020,151,"Western Africa, regional",49.646717,51.324204
2020,151,"Eastern Africa, regional",73.1111800000001,73.650449
2020,151,"Central America, regional",15.019038,15.999774
2020,151,"Southern Africa, regional",4.122169,4.475811
2020,151,"Middle Africa, regional",17.213369,17.169269
2020,151,"South & Central Asia, regional",6.552256,6.534981
2020,151,Solomon Islands,62.168543,67.319549
2020,151,"North of Sahara, regional",163.128522,162.802593
2020,151,Micronesia,14.403225,15.028318
2020,151,Nauru,8.228549,9.010819
2020,151,Niue,3.219633,3.493733
2020,151,Saint Vincent and the Grenadines,7.893838,8.10082
2020,151,Antigua and Barbuda,0.337675,0.334155
2020,151,Grenada,8.54846,8.783619
2020,151,Wallis and Futuna,38.785928,37.374144
2020,151,Montserrat,15.766039,15.916198
2020,151,Tokelau,0.479542,0.51007
2020,151,Saint Helena,13.519738,13.6479
2021,151,Democratic Republic of the Congo,181.794813,176.746216
2021,151,Albania,69.7116020000001,65.943118
2021,151,"Middle East, regional",219.417688,207.232976
2021,151,"Bilateral, unspecified",2454.01181500001,2366.03607100001
2021,151,Bosnia and Herzegovina,87.1617730000003,84.2450910000001
2021,151,Moldova,165.565202,156.862016000001
2021,151,Niger,194.724741,187.344886
2021,151,Egypt,68.248996,67.044778
2021,151,Mozambique,95.25158,92.7020720000001
2021,151,Ethiopia,249.472243,243.732308
2021,151,Madagascar,68.685511,66.03699
2021,151,"South Asia, regional",34.849719,32.629277
2021,151,Uganda,217.782919,207.741452
2021,151,Serbia,136.31232,129.94728
2021,151,Ukraine,324.087149000001,319.616141
2021,151,Ghana,175.848903,167.91443
2021,151,Somalia,210.773093,205.341805
2021,151,"Europe, regional",299.115286,286.105047
2021,151,Philippines,72.25134,72.176612
2021,151,Sri Lanka,61.541322,61.998473
2021,151,Afghanistan,603.693692,607.490176
2021,151,Bangladesh,269.141651,259.56301
2021,151,Morocco,150.854934,141.552549
2021,151,"Asia, regional",202.839895,190.30713
2021,151,Cambodia,100.080004,96.625084
2021,151,Malawi,77.850932,76.664883
2021,151,Nepal,173.171183,171.119124
2021,151,West Bank and Gaza Strip,159.87177,151.695991
2021,151,South Africa,47.021671,45.509592
2021,151,India,87.951381,84.466892
2021,151,Pakistan,334.096095,323.961852
2021,151,Brazil,44.833671,44.338354
2021,151,Myanmar,172.620566,170.161928
2021,151,South Sudan,89.99278,88.555908
2021,151,Angola,16.318128,16.116642
2021,151,Zambia,73.031223,69.656121
2021,151,Syrian Arab Republic,50.502056,47.473136
2021,151,Tanzania,144.198815,139.669741
2021,151,Bhutan,22.652121,21.682522
2021,151,Kosovo,62.222559,61.747503
2021,151,Liberia,65.698282,63.492693
2021,151,Kenya,455.523162,439.652015
2021,151,Türkiye,75.128695,70.393512
2021,151,Zimbabwe,73.602219,71.673947
2021,151,"Caribbean & Central America, regional",45.387106,43.6448
2021,151,Indonesia,380.390136,362.820244
2021,151,"Africa, regional",494.945997,464.508491
2021,151,Thailand,15.927122,16.092851
2021,151,Mali,197.100047,191.047772
2021,151,Sudan,600.718379,581.53769
2021,151,Honduras,154.191173,153.686842
2021,151,Iraq,208.229178,204.65968
2021,151,States Ex-Yugoslavia unspecified,2.075273,2.179256
2021,151,Papua New Guinea,218.744772,214.918721
2021,151,"America, regional",124.035338,119.098455
2021,151,North Macedonia,38.892187,37.420569
2021,151,Guatemala,149.985627,147.952820000001
2021,151,Colombia,126.888907,125.821223
2021,151,"South of Sahara, regional",234.718367,222.652726
2021,151,Nicaragua,28.902054,29.032227
2021,151,Cameroon,84.836226,81.330125
2021,151,"North of Sahara, regional",54.79613,51.597474
2021,151,Burkina Faso,180.635938,173.303371
2021,151,"Western Africa, regional",63.546943,62.255196
2021,151,Benin,91.9729560000001,88.4008140000001
2021,151,Congo,13.248801,12.670809
2021,151,Viet Nam,77.1903070000001,74.871752
2021,151,Sierra Leone,67.99523,64.970614
2021,151,Cuba,20.029872,20.072479
2021,151,Senegal,104.666124,100.282935
2021,151,China (People's Republic of),26.111643,24.882329
2021,151,Jordan,449.460324,451.780362
2021,151,Eswatini,3.204182,3.126286
2021,151,Georgia,246.268122,230.532028
